Arrays,,,,
,,,,
12th April,,,,
https://leetcode.com/problems/sliding-window-median/,Sliding window median,,,https://leetcode.com/problems/sliding-window-median/
https://leetcode.com/problems/subarrays-with-k-different-integers/,Subarray with k different integers,,,https://leetcode.com/problems/subarrays-with-k-different-integers/
Count number of nice subarrays,Count number of nice subarrays,,,https://leetcode.com/problems/count-number-of-nice-subarrays/
Number of substring containing all 3 characters,Number of substring containing all 3 chars,,,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters/
Fruit into basket,Fruit into basket,,,https://leetcode.com/problems/fruit-into-baskets/
Replace the substring for balance string,Replace the substring for balanced string,,,https://leetcode.com/problems/replace-the-substring-for-balanced-string/
,,,,
2 Aug,,,,#ERROR!
Write hashmap,Hashmap construction,,,https://www.pepcoding.com/resources/online-java-foundation/hashmap-and-heap/hashmap-official/ojquestion
Minimum size subarray sum,Min size subarray sum,,,https://leetcode.com/problems/minimum-size-subarray-sum/
Shortest subarray with sum atleast K,Shortest subarray with sum atleast K (HW),,,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/
Web of lies,Web of lies,,,https://codeforces.com/contest/1549/problem/C
,,,,
Stacks and queues,,,,
3 Aug,,,,#ERROR!
Daily Temperatures,Daily Temperatures,,,https://leetcode.com/problems/daily-temperatures/
maximum difference between left and right smaller,Left Right smaller,,,https://www.geeksforgeeks.org/find-maximum-difference-between-nearest-left-and-right-smaller-elements/
Largest Rectangular Area Histogram,Largest Area Histogram,,,https://leetcode.com/problems/largest-rectangle-in-histogram/
maximu size binary matrix containing 1,maximum size binary matrix,,,https://leetcode.com/problems/maximal-rectangle/
Valid Parentheses,Valid Parentheses,,,https://leetcode.com/problems/valid-parentheses/
Length of longest valid substring,Valid Parentheses Substring,,,https://www.geeksforgeeks.org/length-of-the-longest-valid-substring/
Count of duplicate Parentheses,Count of Duplicate Parentheses(HW),,,https://www.geeksforgeeks.org/find-expression-duplicate-parenthesis-not/
Minimum Number of bracket reversal,Min Reversal,,,https://www.geeksforgeeks.org/minimum-number-of-bracket-reversals-needed-to-make-an-expression-balanced/
Minimum Add To make Parentheses Valid,Making Parentheses Valid,,,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/
Asteroid Collision,Asteroid Colllision,,,https://leetcode.com/problems/asteroid-collision/
Backspace String Compare,Compare after deletion,,,https://leetcode.com/problems/backspace-string-compare/
Remove K digits From number,Remove k digits,,,https://leetcode.com/problems/remove-k-digits/
K reverse in a queue,K reverse in a queue,,,https://www.geeksforgeeks.org/reversing-first-k-elements-queue/
Remove duplicate letters,Remove duplicate letter(TRY),,,https://leetcode.com/problems/remove-duplicate-letters/
,,,,
4 Aug,,,,#ERROR!
Min Stack,min stack,,,https://leetcode.com/problems/min-stack/
K stacks in a single array,K stacks in a single array,,,https://www.geeksforgeeks.org/efficiently-implement-k-stacks-single-array/
K queue,K queue in a single array,,,https://www.geeksforgeeks.org/efficiently-implement-k-queues-single-array/
ADAPTERS,,,,
Print Binary Number,Binary Number upto n,,,https://www.geeksforgeeks.org/interesting-method-generate-binary-numbers-1-n/
